0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,URL
Louisiana Tech,274,65,0.2,10,1,-1,-1.0,0,275,64,0.2,10,,,,,https://www.sports-reference.com/cfb/players/luke-mccown-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/john-navarre-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/john-navarre-1.html
Michigan,Big Ten,FR,QB,9,11,-34,-3.1,0,11,-34,-3.1,0,,,,,https://www.sports-reference.com/cfb/players/john-navarre-1.html
Michigan,Big Ten,SO,QB,11,45,-100,-2.2,0,45,-100,-2.2,0,,,,,https://www.sports-reference.com/cfb/players/john-navarre-1.html
Michigan,Big Ten,JR,QB,13,40,-16,-0.4,2,40,-16,-0.4,2,,,,,https://www.sports-reference.com/cfb/players/john-navarre-1.html
Michigan,Big Ten,SR,QB,13,48,-91,-1.9,0,1,36,36.0,1,49,-55,-1.1,1,https://www.sports-reference.com/cfb/players/john-navarre-1.html
Michigan,144,-241,-1.7,2,1,36,36.0,1,145,-205,-1.4,3,,,,,https://www.sports-reference.com/cfb/players/john-navarre-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/cody-pickett-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/cody-pickett-1.html
Washington,Pac-10,QB,1,0,0,0,,,,,,,,,,,https://www.sports-reference.com/cfb/players/cody-pickett-1.html
Washington,Pac-10,FR,QB,2,0,0,0,,,,,,,,,,https://www.sports-reference.com/cfb/players/cody-pickett-1.html
Washington,Pac-10,SO,QB,10,83,60,0.7,5,1,-11,-11.0,0,84,49,0.6,5,https://www.sports-reference.com/cfb/players/cody-pickett-1.html
Washington,Pac-10,JR,QB,13,86,-185,-2.2,3,1,-8,-8.0,0,87,-193,-2.2,3,https://www.sports-reference.com/cfb/players/cody-pickett-1.html
Washington,Pac-10,SR,QB,12,80,-61,-0.8,3,80,-61,-0.8,3,,,,,https://www.sports-reference.com/cfb/players/cody-pickett-1.html
Washington,249,-186,-0.7,11,2,-19,-9.5,0,251,-205,-0.8,11,,,,,https://www.sports-reference.com/cfb/players/cody-pickett-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/jeff-smoker-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/jeff-smoker-1.html
Michigan State,Big Ten,FR,QB,9,73,-5,-0.1,2,73,-5,-0.1,2,,,,,https://www.sports-reference.com/cfb/players/jeff-smoker-1.html
Michigan State,Big Ten,SO,QB,11,81,-58,-0.7,2,81,-58,-0.7,2,,,,,https://www.sports-reference.com/cfb/players/jeff-smoker-1.html
Michigan State,Big Ten,JR,QB,8,38,-39,-1.0,0,38,-39,-1.0,0,,,,,https://www.sports-reference.com/cfb/players/jeff-smoker-1.html
Michigan State,Big Ten,SR,QB,13,63,-116,-1.8,3,1,22,22.0,0,64,-94,-1.5,3,https://www.sports-reference.com/cfb/players/jeff-smoker-1.html
Michigan State,255,-218,-0.9,7,1,22,22.0,0,256,-196,-0.8,7,,,,,https://www.sports-reference.com/cfb/players/jeff-smoker-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/josh-harris-2.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/josh-harris-2.html
Bowling Green State,MAC,QB,6,69,292,4.2,2,1,0,0.0,0,70,292,4.2,2,,https://www.sports-reference.com/cfb/players/josh-harris-2.html
Bowling Green State,MAC,SO,QB,10,126,614,4.9,8,1,14,14.0,1,127,628,4.9,9,https://www.sports-reference.com/cfb/players/josh-harris-2.html
Bowling Green State,MAC,JR,QB,12,186,737,4.0,20,3,51,17.0,2,189,788,4.2,22,https://www.sports-reference.com/cfb/players/josh-harris-2.html
Bowling Green State,MAC,SR,QB,14,215,830,3.9,13,1,48,48.0,1,216,878,4.1,14,https://www.sports-reference.com/cfb/players/josh-harris-2.html
Bowling Green State,596,2473,4.1,43,6,113,18.8,4,602,2586,4.3,47,,,,,https://www.sports-reference.com/cfb/players/josh-harris-2.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/philip-rivers-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/philip-rivers-1.html
